Radius   Mass(r<R) logRho   Lum.     Temp.    logPres. logOpac.
1.003451 0.999994988  -3.2510   1.0404 66418.6298   9.6468   4.6486
1.003337 0.999994851  -3.2397   1.0404 67372.3859   9.6647   4.6342
1.003106 0.999994566  -3.2250   1.0404 68638.5142   9.6882   4.6159
1.002874 0.999994271  -3.2105   1.0404 69906.4770   9.7113   4.5984
1.002643 0.999993965  -3.1998   1.0404 70853.2725   9.7283   4.5861
1.002526 0.999993807  -3.1928   1.0404 71488.4239   9.7395   4.5781
1.002410 0.999993648  -3.1823   1.0404 72447.6207   9.7562   4.5664
1.002177 0.999993321  -3.1684   1.0404 73720.8327   9.7782   4.5517
1.001943 0.999992981  -3.1548   1.0404 74995.7905   9.7999   4.5375
1.001708 0.999992630  -3.1413   1.0404 76272.5772   9.8213   4.5238
1.001473 0.999992266  -3.1280   1.0404 77551.3365   9.8424   4.5105
1.001236 0.999991889  -3.1148   1.0404 78832.2525   9.8632   4.4980
1.000997 0.999991499  -3.1017   1.0404 80115.5379   9.8838   4.4862
1.000758 0.999991094  -3.0888   1.0404 81401.4389   9.9042   4.4750
1.000517 0.999990676  -3.0760   1.0404 82690.2408   9.9243   4.4643
1.000275 0.999990243  -3.0633   1.0404 83982.2662   9.9442   4.4539
1.000031 0.999989794  -3.0507   1.0404 85277.8870   9.9640   4.4438
0.999786 0.999989329  -3.0382   1.0404 86577.5492   9.9835   4.4339
0.999539 0.999988848  -3.0258   1.0404 87881.7818  10.0029   4.4242
0.999291 0.999988350  -3.0135   1.0404 89191.1720  10.0221   4.4147
0.999041 0.999987834  -3.0013   1.0404 90506.3243  10.0412   4.4055
0.998788 0.999987300  -2.9892   1.0404 91827.8441  10.0601   4.3964
0.998535 0.999986747  -2.9772   1.0404 93156.3462  10.0788   4.3874
0.998279 0.999986175  -2.9652   1.0404 94492.4666  10.0975   4.3785
0.998021 0.999985582  -2.9533   1.0404 95836.8688  10.1160   4.3697
0.997761 0.999984968  -2.9415   1.0404 97190.2414  10.1344   4.3609
0.997499 0.999984333  -2.9298   1.0404 98553.2914  10.1526   4.3520
0.997235 0.999983675  -2.9181   1.0404 99926.7406  10.1708   4.3431
0.996968 0.999982994  -2.9094   1.0404 100956.0927  10.1842   4.3364
0.996834 0.999982644  -2.9037   1.0404 101651.1862  10.1932   4.3318
0.996699 0.999982288  -2.8950   1.0404 102707.5532  10.2067   4.3248
0.996428 0.999981558  -2.8835   1.0404 104116.6207  10.2246   4.3154
0.996155 0.999980802  -2.8722   1.0404 105539.0198  10.2423   4.3060
0.995879 0.999980019  -2.8637   1.0404 106606.9430  10.2555   4.2988
0.995740 0.999979618  -2.8580   1.0404 107328.6912  10.2644   4.2940
0.995600 0.999979209  -2.8496   1.0404 108426.4716  10.2776   4.2865
0.995319 0.999978370  -2.8383   1.0404 109893.1865  10.2951   4.2764
0.995035 0.999977501  -2.8272   1.0404 111376.1366  10.3125   4.2659
0.994749 0.999976602  -2.8161   1.0404 112876.0537  10.3299   4.2549
0.994459 0.999975671  -2.8051   1.0404 114393.6581  10.3471   4.2433
0.994167 0.999974707  -2.7941   1.0404 115929.6585  10.3644   4.2313
0.993872 0.999973710  -2.7832   1.0404 117484.7529  10.3815   4.2190
0.993574 0.999972677  -2.7724   1.0404 119059.6273  10.3986   4.2064
0.993273 0.999971608  -2.7643   1.0404 120245.7061  10.4113   4.1968
0.993121 0.999971059  -2.7589   1.0404 121048.4804  10.4198   4.1903
0.992968 0.999970501  -2.7508   1.0404 122271.2240  10.4326   4.1803
0.992661 0.999969355  -2.7401   1.0404 123909.4110  10.4495   4.1667
0.992350 0.999968169  -2.7267   1.0404 126003.3902  10.4707   4.1489
0.991878 0.999966311  -2.7135   1.0404 128104.5800  10.4916   4.1304
0.991558 0.999965017  -2.7030   1.0404 129823.8765  10.5083   4.1148
0.991236 0.999963679  -2.6925   1.0404 131567.7407  10.5250   4.0988
0.990909 0.999962293  -2.6820   1.0404 133336.7902  10.5417   4.0823
0.990579 0.999960858  -2.6716   1.0404 135131.6331  10.5583   4.0655
0.990246 0.999959374  -2.6613   1.0404 136952.8545  10.5749   4.0483
0.989908 0.999957837  -2.6509   1.0404 138801.0103  10.5914   4.0307
0.989567 0.999956246  -2.6406   1.0404 140676.6339  10.6079   4.0128
0.989222 0.999954599  -2.6304   1.0404 142580.2547  10.6244   3.9944
0.988872 0.999952895  -2.6202   1.0404 144512.4082  10.6408   3.9757
0.988519 0.999951131  -2.6100   1.0404 146473.6315  10.6573   3.9566
0.988161 0.999949305  -2.5998   1.0404 148464.4561  10.6736   3.9373
0.987800 0.999947415  -2.5897   1.0404 150485.4041  10.6900   3.9176
0.987433 0.999945458  -2.5796   1.0404 152536.9918  10.7063   3.8976
0.987063 0.999943434  -2.5696   1.0404 154619.7329  10.7226   3.8773
0.986688 0.999941338  -2.5595   1.0404 156734.1387  10.7389   3.8567
0.986308 0.999939169  -2.5495   1.0404 158880.7163  10.7551   3.8359
0.985924 0.999936925  -2.5396   1.0404 161059.9685  10.7713   3.8148
0.985535 0.999934601  -2.5296   1.0404 163272.3935  10.7875   3.7936
0.985142 0.999932197  -2.5197   1.0404 165518.4840  10.8037   3.7723
0.984743 0.999929709  -2.5098   1.0404 167798.7244  10.8198   3.7507
0.984340 0.999927133  -2.4999   1.0404 170113.5953  10.8360   3.7290
0.983931 0.999924468  -2.4901   1.0404 172463.5841  10.8521   3.7071
0.983517 0.999921710  -2.4802   1.0404 174849.1900  10.8682   3.6852
